event_title,event_genres,line_up,place,starting_time,finishing_time,venue_information,event_location_details,event_ticket_types,ticket_price,location_identifier,location_address,remain_prices,image,data_date,url,Record ID,id,city,starting_day,free_entrance,latitud,longitud,district
ATMØ @ CLUB EXPERIENCE VIERNES 22 NOVIEMBRE,"Underground, Urban, Tech house, House, Minimal",NaN,M Club,2024-11-22 23:59:00,2024-11-23 07:30:00,"ATMØ te invitan a una noche explosiva de house underground en el corazón de València. Viernes 22 de NOVIEMBRE, M-Club se convierte en el templo de los beats más puros y vibrantes. Ven a vivir el groove y deja que la música te envuelva.","An iconic club since 1940, in the city centre, with good sound and a lively atmosphere. Mclub is your place if you are looking to end a good night.","Lista acceso GRATIS hasta 2:30, ENT. ANTICIPADA 12€  / 1 CONSUMICIÓN, TICKET DONACION DANA ENTRADA SOLIDARIA 5€, ENT. ANTICIPADA 15€ / 1 CONSUMICIÓN","0.0, 5.0, 12.0, 15.0","39.4705181,-0.3773028","9 Carrer de la Sang, Valencia, Spain","5.0, 12.0, 15.0",https://images.xceed.me/events/banners/atmo-club-experience-viernes-22-noviembre-valencia-xceed-6c07.jpg?w=600&fm=auto,2024-11-22,https://xceed.me/en/valencia/event/atmo-club-experience-viernes-22-noviembre--172899,recvofaXZZNRRqT0T,recvofaXZZNRRqT0T,Valencia,Friday,False,39.4705181,-0.3773028,Ciutat Vella
VIERNES | Icy Vedo Showcase + Her Silhouette ,"International, Urban, Urban Sound, Hits",NaN,La3,2024-11-22 23:59:00,2024-11-23 07:00:00,Icy Vedo + Her Silhouette,"It’s been open for less than 10 years but La3 has quickly become one of the most iconic clubs in Valencia. This club boasts quality sound systems, which have recently been upgraded to the Funktion-One system. The club’s name comes from the 3 rooms within the club: Main Room, Oven Club y Sala2, which have hosted the most famous national and international artists such as Jeff Mills, Nina Kraviz, Laurent Garnier, Seth Troxler, 2manydjs, Vitalic and Flux Pavilion among many others. La3 is not only one of the best party clubs in Valencia but it is a meeting point for true music lovers. In terms of music, La3 is now adding more urban styles such as trap, R&B and hip-hop and the popular Friday night is adapting to the needs of its public, the young and cosmopolitan masses. To satisfy you on Saturday nights, there is a new event at the club called “Electric Saturdays”, where you can enjoy the best national and international techno and house DJs in any of the 3 rooms that the venue boasts. If La3 is known for something in particular, it’s because of its high quality music played weekend after weekend.","Entrada 2, Ticket, Lista gratis., Entrada 1","0.0, 10.0, 15.0, 19.0","39.473577,-0.34458459999996","Avenida Blasco Ibanez 111, Valencia, Spain","0.0, 10.0, 15.0, 19.0",https://images.xceed.me/events/banners/viernes-icy-vedo-showcase-her-silhouette-valencia-xceed-7c23.jpg?w=600&fm=auto,2024-11-22,https://xceed.me/en/valencia/event/viernes-icy-vedo-showcase-her-silhouette--171636,recLpm7ShRT5IQpBj,recLpm7ShRT5IQpBj,Valencia,Friday,True,39.473577,-0.34458459999996,Algirós
Bowie Disco Show // DJS: Zoraida & Quantum,"International, Live Show, Hits, Pop Internacional, Reggaeton","Zoraida, QUANTUM",Bowie Show Discoteque,2024-11-22 23:59:00,2024-11-23 07:00:00,"Immerse yourself in the unique experience that only Bowie Show Discotheque can offer. Located in the heart of Valencia, Bowie is synonymous with unparalleled entertainment and top-class music. Every weekend, we transform the night with impressive shows, electrifying animations, and live performances that will keep you moving until dawn. Our expert DJs carefully select the best hits of all time and the latest chart-toppers, creating a musical atmosphere that never stops. The party at Bowie is endless, and every corner of our club is designed to offer you an unparalleled visual and auditory experience. Enjoy our modern decor and vibrant atmosphere, ideal for a night of fun with friends. Our professional team is dedicated to providing you with high-quality service, ensuring your comfort and safety at all times. Don’t think twice and come discover why Bowie Show Discotheque is the preferred destination for nightlife in Valencia. Join us and be part of a party you’ll never forget. We look forward to welcoming you!","Bowie Show Discotheque, the most vibrant club in downtown Valencia. At Bowie, we offer you a unique entertainment and music experience every weekend, with shows, animation, and performances that will keep you moving all night long. Additionally, our expert DJs play the best current and all-time hits, ensuring that the music never stops. At Bowie, the party never ends. Our modern decoration and vibrant atmosphere create an incomparable environment to enjoy a fun night out with friends. Our professional team ensures that you have the best experience at our discotheque, offering high-quality service and security for your peace of mind. Don't think about it anymore, come to Bowie and join the party. Discover why we are one of the most popular places for nightlife in Valencia. We're waiting for you! Bowie Show Discotheque, the most vibrant club in downtown Valencia. At Bowie, we offer you a unique entertainment and music experience every weekend, with shows, animation, and performances that will keep you moving all night long. Additionally, our expert DJs play the best current and all-time hits, ensuring that the music never stops. At Bowie, the party never ends. Our modern decoration and vibrant atmosphere create an incomparable environment to enjoy a fun night out with friends. Our professional team ensures that you have the best experience at our discotheque, offering high-quality service and security for your peace of mind. Don't think about it anymore, come to Bowie and join the party. Discover why we are one of the most popular places for nightlife in Valencia. We're waiting for you!","Guest List, VIP exterior, Entrada taquilla, LISTA ACOMPAÑANTE RRPP, LISTA LOCAL COLABORADOR, LISTA DESCUENTO RRPP, Entrada Anticipada","0.0, 12.0, 18.0, 150.0","39.4655443,-0.37091799999996","Carrer de Martí, 4, Valencia, Spain","0.0, 12.0, 18.0, 150.0",https://images.xceed.me/events/banners/bowie-disco-show-13-valencia-xceed-36a2.jpg?w=600&fm=auto,2024-11-22,https://xceed.me/en/valencia/event/bowie-disco-show-djs-zoraida-quantum--170715,recLLmihRQgSxiusW,recLLmihRQgSxiusW,Valencia,Friday,True,39.4655443,-0.37091799999996,l'Eixample
TOTAL: THC + Ariezzz + Cam / Bar:  Electrika:  Dybbukks  + Fag hag + Yx3,"Underground, House, Tech house",NaN,Oven Club Centro,2024-11-22 23:30:00,2024-11-23 07:30:00,Oven Club Coctelería +21,"· Located in Valencia center · Funktion One · House, Deep House, Disco, Funk, Dub Techno, Trip Hop, Downtempo... · + 21","Ticket, Guest List","0.0, 15.0","39.4637314,-0.37599309999996","Gran Via de les Germanies, 31, Valencia, Spain","0.0, 15.0",https://images.xceed.me/events/banners/pau-perez-koseki-bar-be-fos-siul-valencia-xceed-9718.jpg?w=600&fm=auto,18/11/2024,https://xceed.me/en/valencia/event/total-thc-ariezzz-cam-bar-electrika-dybbukks-fag-hag-yx3--171615,recYVvqpu4hleEbYo,recYVvqpu4hleEbYo,Valencia,Friday,True,39.4637314,-0.37599309999996,l'Eixample
V22 GRASA - en LATEX,"Underground, LGBTQ+, Techno, Hard Techno, Electro",NaN,Latex Club,2024-11-22 23:59:00,2024-11-23 07:30:00,Every Friday comes: GRASA. New approach to techno “without a monocle” to give space and visibility to younger and less normative groups.,"Latex Club in Valencia presents itself as a dynamic and versatile space, which from now on opens its doors with a varied offer for each day of the week: Thursday: Moova - A party that mixes pop, hits, reggaeton, trap and electronic music, designed to adapt to all audiences. Moova is the new event in Ruzafa that promises to make you dance to the rhythm of all genres. Friday: Club Gordo is a unique experience in the Valencia techno scene, known for its focus on the total enjoyment of electronic music. It offers a night of techno and its most advanced variants, immersing attendees in an atmosphere of mystery and freedom. Saturdays: Four rotating proposals TBA Latex Club is thus positioned as an essential place in Valencia's nightlife, combining different styles and atmospheres to satisfy all music lovers.","ANTICIPADA 12 €, LISTA FREE","0.0, 12.0","39.4615073,-0.3727169","Carlos Cervera, 23, Valencia, Spain","0.0, 12.0",https://images.xceed.me/events/banners/v08-grasa-en-latex-valencia-xceed-2c62.jpg?w=600&fm=auto,18/11/2024,https://xceed.me/en/valencia/event/v22-grasa-en-latex--171244,recplr07R8bfkrQhm,recplr07R8bfkrQhm,Valencia,Friday,True,39.4615073,-0.3727169,l'Eixample
Jagger Club,"Hits, Pop Internacional, House",NaN,Jagger Club,2024-11-22 22:30:00,2024-11-23 03:30:00,ACCESO GRATIS Reserva de VIPS aquí.,"Jagger Pub is not just your typical pub, it is a venue with character and style that offers a club-like experience. Located in the heart of the city, it's the perfect place to enjoy timeless hits and a vibrant atmosphere. With its sleek and modern decor, Jagger Pub provides the perfect backdrop for a night out with friends. The expertly crafted cocktail menu and wide selection of drinks make it the ideal spot for those looking to start their night off with a bang. As the night progresses, the venue transforms into a full-on club, with top-notch DJs spinning the latest and greatest tracks to keep you moving all night long. Whether you're in the mood for dancing or just hanging out with friends, Jagger Pub is the place to be. Come and experience the electric atmosphere and unforgettable nights at Jagger Pub.",VIP NOCHE,120.0,"39.4660067,-0.3718288","Gran Via del Marqués del Túria, 23, Valencia, Spain",SOLD OUT,https://images.xceed.me/events/banners/jagger-club-97-valencia-xceed-24f3.jpg?w=600&fm=auto,2024-11-22,https://xceed.me/en/valencia/event/jagger-club-189--171141,rec4vRJiSeBa1LoOr,rec4vRJiSeBa1LoOr,Valencia,Friday,False,39.4660067,-0.3718288,l'Eixample
MINICLUB: VIERNES 22 Tech House Session,"Underground, Urban, Tech house, Techno, Minimal","Bernna Prietto, Tony Ink",Miniclub.,2024-11-22 23:59:00,2024-11-23 07:30:00,"MINICLUB Avda Blasco Ibañez, 111 Valencia. 00.00 - 07.30 Entrada gratuita 00.00-00.30h Entrada 20€ (2 consumiciones hasta las 03.00, después 1 consumición) Mesa VIP 140€ hasta las 03.00 (5 PAX), luego 160€","Miniclub is located in the area of Plaza Honduras, near Avenida Blasco Ibañez. Thursdays, Fridays and Saturdays sessions are characterized by the best of House,Tech House, Deep House and Techno music. This nightclub is a must go for clubbing and electronic music lovers. An immersive experience destined to change your perception of Nightlife!","Ticket, Guest List","0.0, 20.0","39.473504,-0.34454900000003","Avenida Blasco Ibañez, 111, Valencia, Spain","0.0, 20.0",https://images.xceed.me/events/banners/miniclub-viernes-22-tech-house-session-valencia-xceed-3b24.png?w=600&fm=auto,2024-11-22,https://xceed.me/en/valencia/event/miniclub-viernes-22-tech-house-session--172802,recAIlcQ52RbVun1N,recAIlcQ52RbVun1N,Valencia,Friday,True,39.473504,-0.34454900000003,Algirós
Daria Kolosova + Prauze + Hard techno (the cube),"Underground, Hard Techno, Techno",Daria Kolosova,Spook Club,2024-11-23 22:00:00,2024-11-24 07:30:00,Main: Daria Kolosova + Prauze + Ariezzz + DJ Badtrip + Finalversion3 Cubo: Punto + Stroc + Biondo,"En 1984 sobre las cenizas de la discoteca San Francisco voló por primera vez el murciélago más emblemático de la noche. Abría Spook Factory, el templo de la música Valenciana. Un espacio para la experimentación sensorial que marcó un antes y un después en la historia del clubbing. Hoy Spook sigue siendo historia viva de Valencia, ofreciendo una programación musical de vanguardia nacional e internacional. Todos los sábados desde las 18:00h a las 7:30h tienes una cita con la música, la catarsis y la vanguardia. Bandas, Lives, Dj’s, Foodtrucks y mucho más. #TodosLosSabadosUnFestival.","ESN / DISCOUNT (Erasmus), EARLYBIRD TICKETS, TICKET - RELEASE 1, PASS - NOVEMBER, TICKET - BACKSTAGE, TICKET - RELEASE 2","10.0, 15.0, 20.0, 25.0, 30.0, 50.0","39.410901,-0.33605499999999","Carretera del Rio, 399, Pinedo, Valencia, Spain","10.0, 20.0, 25.0, 30.0, 50.0",https://images.xceed.me/events/banners/daria-kolosova-prauze-hard-techno-the-cube-valencia-xceed-5855.png?w=600&fm=auto,18/11/2024,https://xceed.me/en/valencia/event/daria-kolosova-prauze-hard-techno-the-cube--169939,recpZWFW5kULNSFc4,recpZWFW5kULNSFc4,Valencia,Saturday,False,39.410901,-0.33605499999999,Pobles del Sud
SATURDAY 23/11 MAIN: COLOR + ORFIGYAL,"Student, Urban, Urban Sound, Reggaeton, Hip-hop","COLOR, ORFIGYAL",ROTO CLUB,2024-11-23 23:59:00,2024-11-24 07:30:00,"ROTO CLUB arises from the need to create a safe space in which to play, listen and experience today's urban scene.","ROTO CLUB arises from the need to create a safe space in which to play, listen and experience today's urban scene. Main Room (ROTO CLUB): Here you can listen to and dance to genres such as Reggaeton, Hip Hop, and Urban, being ideal for lovers of these styles.","LISTA DESCUENTO (Pago en puerta), Mesa 11 V.I.P. DJ-ZONE, ANTICIPADA 12€, Mesa 6, Mesa 3, Mesa 7, Mesa 9, Mesa 10 V.I.P. DJ-ZONE, Mesa 8, Mesa 1, Mesa 4, Mesa 5, LISTA FREE, Mesa 2","0.0, 12.0, 120.0, 150.0, 180.0, 200.0, 300.0","39.454988,-0.3748483","Av. d'Ausiàs March, 18, Valencia, Spain","0.0, 12.0, 120.0, 150.0, 180.0, 200.0, 300.0",https://images.xceed.me/events/banners/saturday-23-11-main-color-orfigyal-valencia-xceed-9d14.png?w=600&fm=auto,2024-11-22,https://xceed.me/en/valencia/event/saturday-23-11-main-color-orfigyal--170575,recu7z6djI89fpdjR,recu7z6djI89fpdjR,Valencia,Saturday,True,39.454988,-0.3748483,Quatre Carreres
Verbena 23.11.2024,"Hipster, Local, 90s - 00s, Hits, Reggaeton",Ella pincha sola,Play Club,2024-11-23 18:00:00,2024-11-23 23:00:00,"¡Verbena! La fiesta de pueblo en la pista de Play vuelve para animar tus tardes de sábado: Reggaeton, pop, petardeo y todos los hits que te sabes de memoria, desde Estopa hasta La Oreja de Van Gogh pasando por Bad Bunny de la mano de nuestros DJs. Lista gratuita hasta las 19h, juegos, premios y picoteo dulce y salado.","Situado en Ruzafa, uno de los barrios más de moda en Valencia, cuenta con dos salas: En la sala principal hits de indie, pop y rock y en la sala de arriba los viernes te encontrarás con los mejores éxitos del reggaeton actual y antiguo y la música más comercial. El Club se reserva el derecho de admisión","Ticket, Reservado Botella, Dos Copas, Lista gratuita","0.0, 10.0, 15.0, 120.0","39.462588,-0.37752999999998","C/ Cuba, 8, Valencia, Spain","0.0, 10.0, 15.0, 120.0",https://images.xceed.me/events/banners/tardeo-230324-1-valencia-xceed-c8af.jpg?w=600&fm=auto,2024-11-22,https://xceed.me/en/valencia/event/verbena-23112024--170669,recOynOxUONyKNf5Q,recOynOxUONyKNf5Q,Valencia,Saturday,True,39.462588,-0.37752999999998,l'Eixample
